Timestamp,Tag,Valor,Equipo
2025-01-01,MILL201.POWER_KW,449.9875,MILL201
2025-01-02,MILL201.POWER_KW,450.0505,MILL201
2025-01-03,MILL201.POWER_KW,450.559,MILL201
2025-01-04,MILL201.POWER_KW,449.4563333333333,MILL201
2025-01-05,MILL201.POWER_KW,450.05475,MILL201
2025-01-06,MILL201.POWER_KW,449.807,MILL201
2025-01-07,MILL201.POWER_KW,449.972,MILL201
2025-01-08,MILL201.POWER_KW,450.00475,MILL201
2025-01-09,MILL201.POWER_KW,449.9865,MILL201
2025-01-10,MILL201.POWER_KW,450.18225,MILL201
2025-01-11,MILL201.POWER_KW,450.262,MILL201
2025-01-12,MILL201.POWER_KW,449.9025,MILL201
2025-01-13,MILL201.POWER_KW,450.16225,MILL201
2025-01-14,MILL201.POWER_KW,449.628,MILL201
2025-01-01,PUMP101.BEARING_TEMP,65.11925,PUMP101
2025-01-02,PUMP101.BEARING_TEMP,64.56975,PUMP101
2025-01-03,PUMP101.BEARING_TEMP,65.0985,PUMP101
2025-01-04,PUMP101.BEARING_TEMP,65.10024999999999,PUMP101
2025-01-05,PUMP101.BEARING_TEMP,65.02974999999999,PUMP101
2025-01-06,PUMP101.BEARING_TEMP,65.0255,PUMP101
2025-01-07,PUMP101.BEARING_TEMP,65.01475,PUMP101
2025-01-08,PUMP101.BEARING_TEMP,65.32225,PUMP101
2025-01-09,PUMP101.BEARING_TEMP,65.05225,PUMP101
2025-01-10,PUMP101.BEARING_TEMP,64.859,PUMP101
2025-01-11,PUMP101.BEARING_TEMP,65.10675,PUMP101
2025-01-12,PUMP101.BEARING_TEMP,65.17875000000001,PUMP101
2025-01-13,PUMP101.BEARING_TEMP,65.2085,PUMP101
2025-01-14,PUMP101.BEARING_TEMP,64.271,PUMP101
2025-01-01,PUMP101.VIBRATION_RMS,2.22775,PUMP101
2025-01-02,PUMP101.VIBRATION_RMS,2.329,PUMP101
2025-01-03,PUMP101.VIBRATION_RMS,2.4745,PUMP101
2025-01-04,PUMP101.VIBRATION_RMS,2.56475,PUMP101
2025-01-05,PUMP101.VIBRATION_RMS,2.8465,PUMP101
2025-01-06,PUMP101.VIBRATION_RMS,2.33875,PUMP101
2025-01-07,PUMP101.VIBRATION_RMS,2.3314166666666667,PUMP101
2025-01-08,PUMP101.VIBRATION_RMS,2.3390833333333334,PUMP101
2025-01-09,PUMP101.VIBRATION_RMS,3.0542499999999997,PUMP101
2025-01-10,PUMP101.VIBRATION_RMS,2.1326666666666663,PUMP101
2025-01-11,PUMP101.VIBRATION_RMS,2.426555555555556,PUMP101
2025-01-12,PUMP101.VIBRATION_RMS,2.11325,PUMP101
2025-01-13,PUMP101.VIBRATION_RMS,2.8924166666666666,PUMP101
2025-01-14,PUMP101.VIBRATION_RMS,2.2933333333333334,PUMP101
2025-01-01,PUMP102.VIBRATION_RMS,1.8365,PUMP102
2025-01-02,PUMP102.VIBRATION_RMS,2.4405,PUMP102
2025-01-03,PUMP102.VIBRATION_RMS,2.0372500000000002,PUMP102
2025-01-04,PUMP102.VIBRATION_RMS,2.319,PUMP102
2025-01-05,PUMP102.VIBRATION_RMS,2.00875,PUMP102
2025-01-06,PUMP102.VIBRATION_RMS,2.12525,PUMP102
2025-01-07,PUMP102.VIBRATION_RMS,1.5967500000000001,PUMP102
2025-01-08,PUMP102.VIBRATION_RMS,1.69275,PUMP102
2025-01-09,PUMP102.VIBRATION_RMS,1.88475,PUMP102
2025-01-10,PUMP102.VIBRATION_RMS,2.50025,PUMP102
2025-01-11,PUMP102.VIBRATION_RMS,2.2047499999999998,PUMP102
2025-01-12,PUMP102.VIBRATION_RMS,2.18775,PUMP102
2025-01-13,PUMP102.VIBRATION_RMS,1.89425,PUMP102
2025-01-14,PUMP102.VIBRATION_RMS,1.822,PUMP102
