Tag,Fecha,Valor
MILL201.POWER_KW,2025-01-01,449.9875
MILL201.POWER_KW,2025-01-02,450.0505
MILL201.POWER_KW,2025-01-03,450.559
MILL201.POWER_KW,2025-01-04,449.4563333333333
MILL201.POWER_KW,2025-01-05,450.05475
MILL201.POWER_KW,2025-01-06,449.807
MILL201.POWER_KW,2025-01-07,449.972
MILL201.POWER_KW,2025-01-08,450.00475
MILL201.POWER_KW,2025-01-09,449.9865
MILL201.POWER_KW,2025-01-10,450.18225
MILL201.POWER_KW,2025-01-11,450.262
MILL201.POWER_KW,2025-01-12,449.9025
MILL201.POWER_KW,2025-01-13,450.16225
MILL201.POWER_KW,2025-01-14,449.628
PUMP101.BEARING_TEMP,2025-01-01,65.11925
PUMP101.BEARING_TEMP,2025-01-02,64.56975
PUMP101.BEARING_TEMP,2025-01-03,65.0985
PUMP101.BEARING_TEMP,2025-01-04,65.10024999999999
PUMP101.BEARING_TEMP,2025-01-05,65.02974999999999
PUMP101.BEARING_TEMP,2025-01-06,65.0255
PUMP101.BEARING_TEMP,2025-01-07,65.01475
PUMP101.BEARING_TEMP,2025-01-08,65.32225
PUMP101.BEARING_TEMP,2025-01-09,65.05225
PUMP101.BEARING_TEMP,2025-01-10,64.859
PUMP101.BEARING_TEMP,2025-01-11,65.10675
PUMP101.BEARING_TEMP,2025-01-12,65.17875000000001
PUMP101.BEARING_TEMP,2025-01-13,65.2085
PUMP101.BEARING_TEMP,2025-01-14,64.271
PUMP101.VIBRATION_RMS,2025-01-01,2.22775
PUMP101.VIBRATION_RMS,2025-01-02,2.329
PUMP101.VIBRATION_RMS,2025-01-03,2.4745
PUMP101.VIBRATION_RMS,2025-01-04,2.56475
PUMP101.VIBRATION_RMS,2025-01-05,2.8465
PUMP101.VIBRATION_RMS,2025-01-06,2.33875
PUMP101.VIBRATION_RMS,2025-01-07,2.3314166666666667
PUMP101.VIBRATION_RMS,2025-01-08,2.3390833333333334
PUMP101.VIBRATION_RMS,2025-01-09,3.0542499999999997
PUMP101.VIBRATION_RMS,2025-01-10,2.1326666666666663
PUMP101.VIBRATION_RMS,2025-01-11,2.426555555555556
PUMP101.VIBRATION_RMS,2025-01-12,2.11325
PUMP101.VIBRATION_RMS,2025-01-13,2.8924166666666666
PUMP101.VIBRATION_RMS,2025-01-14,2.2933333333333334
PUMP102.VIBRATION_RMS,2025-01-01,1.8365
PUMP102.VIBRATION_RMS,2025-01-02,2.4405
PUMP102.VIBRATION_RMS,2025-01-03,2.0372500000000002
PUMP102.VIBRATION_RMS,2025-01-04,2.319
PUMP102.VIBRATION_RMS,2025-01-05,2.00875
PUMP102.VIBRATION_RMS,2025-01-06,2.12525
PUMP102.VIBRATION_RMS,2025-01-07,1.5967500000000001
PUMP102.VIBRATION_RMS,2025-01-08,1.69275
PUMP102.VIBRATION_RMS,2025-01-09,1.88475
PUMP102.VIBRATION_RMS,2025-01-10,2.50025
PUMP102.VIBRATION_RMS,2025-01-11,2.2047499999999998
PUMP102.VIBRATION_RMS,2025-01-12,2.18775
PUMP102.VIBRATION_RMS,2025-01-13,1.89425
PUMP102.VIBRATION_RMS,2025-01-14,1.822
