Timestamp,Equipo,Variable,Valor,Unidad,Quality
2025-03-01 08:00:00,PUMP101,TEMP_RODAMIENTO,70.91,°C,GOOD
2025-03-01 08:00:00,PUMP101,VIBRACION_RMS,2.73,mm/s,GOOD
2025-03-01 09:00:00,PUMP101,TEMP_RODAMIENTO,64.15,°C,GOOD
2025-03-01 09:00:00,PUMP101,VIBRACION_RMS,2.54,mm/s,GOOD
2025-03-01 10:00:00,PUMP101,TEMP_RODAMIENTO,69.95,°C,GOOD
2025-03-01 10:00:00,PUMP101,VIBRACION_RMS,2.76,mm/s,GOOD
2025-03-01 11:00:00,PUMP101,TEMP_RODAMIENTO,70.2,°C,GOOD
2025-03-01 11:00:00,PUMP101,VIBRACION_RMS,2.64,mm/s,GOOD
2025-03-01 12:00:00,PUMP101,TEMP_RODAMIENTO,71.11,°C,GOOD
2025-03-01 12:00:00,PUMP101,VIBRACION_RMS,2.76,mm/s,GOOD
2025-03-01 13:00:00,PUMP101,TEMP_RODAMIENTO,69.45,°C,GOOD
2025-03-01 13:00:00,PUMP101,VIBRACION_RMS,2.87,mm/s,GOOD
2025-03-01 14:00:00,PUMP101,TEMP_RODAMIENTO,68.72,°C,GOOD
2025-03-01 14:00:00,PUMP101,VIBRACION_RMS,2.66,mm/s,GOOD
2025-03-01 15:00:00,PUMP101,TEMP_RODAMIENTO,71.24,°C,GOOD
2025-03-01 15:00:00,PUMP101,VIBRACION_RMS,3.14,mm/s,GOOD
2025-03-01 16:00:00,PUMP101,TEMP_RODAMIENTO,68.46,°C,GOOD
2025-03-01 16:00:00,PUMP101,VIBRACION_RMS,2.68,mm/s,GOOD
2025-03-01 17:00:00,PUMP101,TEMP_RODAMIENTO,69.66,°C,GOOD
2025-03-01 17:00:00,PUMP101,VIBRACION_RMS,2.25,mm/s,GOOD
2025-03-01 18:00:00,PUMP101,TEMP_RODAMIENTO,72.23,°C,GOOD
2025-03-01 18:00:00,PUMP101,VIBRACION_RMS,2.15,mm/s,GOOD
2025-03-01 19:00:00,PUMP101,TEMP_RODAMIENTO,68.0,°C,GOOD
2025-03-01 19:00:00,PUMP101,VIBRACION_RMS,2.54,mm/s,GOOD
2025-03-01 20:00:00,PUMP101,TEMP_RODAMIENTO,72.61,°C,GOOD
2025-03-01 20:00:00,PUMP101,VIBRACION_RMS,2.7,mm/s,BAD
2025-03-01 21:00:00,PUMP101,TEMP_RODAMIENTO,70.87,°C,GOOD
2025-03-01 21:00:00,PUMP101,VIBRACION_RMS,2.06,mm/s,GOOD
2025-03-01 22:00:00,PUMP101,TEMP_RODAMIENTO,68.59,°C,GOOD
2025-03-01 22:00:00,PUMP101,VIBRACION_RMS,2.42,mm/s,GOOD
2025-03-01 23:00:00,PUMP101,TEMP_RODAMIENTO,67.4,°C,GOOD
2025-03-01 23:00:00,PUMP101,VIBRACION_RMS,2.0,mm/s,GOOD
2025-03-02 00:00:00,PUMP101,TEMP_RODAMIENTO,70.49,°C,GOOD
2025-03-02 00:00:00,PUMP101,VIBRACION_RMS,2.71,mm/s,GOOD
2025-03-02 01:00:00,PUMP101,TEMP_RODAMIENTO,68.95,°C,GOOD
2025-03-02 01:00:00,PUMP101,VIBRACION_RMS,2.76,mm/s,GOOD
2025-03-02 02:00:00,PUMP101,TEMP_RODAMIENTO,66.17,°C,GOOD
2025-03-02 02:00:00,PUMP101,VIBRACION_RMS,2.22,mm/s,GOOD
2025-03-02 03:00:00,PUMP101,TEMP_RODAMIENTO,70.43,°C,GOOD
2025-03-02 03:00:00,PUMP101,VIBRACION_RMS,2.37,mm/s,GOOD
2025-03-02 04:00:00,PUMP101,TEMP_RODAMIENTO,71.88,°C,GOOD
2025-03-02 04:00:00,PUMP101,VIBRACION_RMS,2.64,mm/s,GOOD
2025-03-02 05:00:00,PUMP101,TEMP_RODAMIENTO,68.91,°C,GOOD
2025-03-02 05:00:00,PUMP101,VIBRACION_RMS,2.14,mm/s,GOOD
2025-03-02 06:00:00,PUMP101,TEMP_RODAMIENTO,68.59,°C,GOOD
2025-03-02 06:00:00,PUMP101,VIBRACION_RMS,2.64,mm/s,GOOD
2025-03-02 07:00:00,PUMP101,TEMP_RODAMIENTO,72.0,°C,GOOD
2025-03-02 07:00:00,PUMP101,VIBRACION_RMS,2.37,mm/s,GOOD
