Timestamp,PUMP101.BEARING_TEMP,PUMP101.DISCHARGE_PRESS,PUMP101.MOTOR_CURRENT,PUMP101.VIBRATION_RMS,falla,vib_media_24h,temp_pendiente_24h,presion_pct
2024-06-01 00:00:00,65.152,11.874,44.984,2.349,0,2.349,0.0,0.4021505376344086
2024-06-01 02:00:00,65.375,11.855,44.973,2.935,0,2.6420000000000003,0.0,0.3827956989247312
2024-06-01 03:00:00,65.47,12.099,44.985,3.24,0,2.8413333333333335,0.0,0.578494623655914
2024-06-01 04:00:00,64.024,11.616,44.708,3.397,0,2.98025,0.0,0.23333333333333334
2024-06-01 05:00:00,64.349,11.597,45.06,3.157,0,3.0156,0.0,0.2161290322580645
2024-06-01 06:00:00,65.064,11.32,45.159,2.445,0,2.9205,0.0,0.09247311827956989
2024-06-01 07:00:00,64.842,12.195,44.608,2.676,0,2.8855714285714287,0.0,0.6591397849462366
2024-06-01 08:00:00,64.992,12.273,44.937,2.883,0,2.88525,0.0,0.7161290322580646
2024-06-01 09:00:00,64.573,12.116,44.695,2.561,0,2.849222222222222,0.0,0.5935483870967742
2024-06-01 10:00:00,65.44,12.483,46.15,2.565,0,2.8207999999999998,0.0,0.8494623655913979
2024-06-01 11:00:00,65.389,12.044,44.955,2.912,0,2.829090909090909,0.0,0.5290322580645161
2024-06-01 12:00:00,65.033,12.196,45.773,2.47,0,2.799166666666667,0.0,0.6623655913978495
2024-06-01 14:00:00,65.234,11.954,45.13,2.293,0,2.7602307692307693,0.0,0.44946236559139785
2024-06-01 15:00:00,64.57,11.735,44.339,2.817,0,2.7642857142857147,0.0,0.2903225806451613
2024-06-01 16:00:00,65.184,13.107,44.776,2.501,0,2.7467333333333332,0.0,0.9806451612903225
2024-06-01 17:00:00,64.521,11.774,45.105,2.67,0,2.7419375,0.0,0.32688172043010755
2024-06-01 18:00:00,65.439,11.667,45.793,2.835,0,2.7474117647058827,0.0,0.26021505376344084
2024-06-01 19:00:00,64.975,12.217,45.111,2.313,0,2.7232777777777777,0.0,0.6774193548387096
2024-06-01 20:00:00,64.908,12.126,45.692,2.878,0,2.7314210526315787,0.0,0.6043010752688172
2024-06-01 21:00:00,64.66,11.298,45.32,2.689,0,2.7293,0.0,0.08602150537634409
2024-06-01 22:00:00,65.611,12.561,45.814,1.883,0,2.689,0.0,0.8838709677419355
2024-06-01 23:00:00,64.923,11.953,44.97,3.221,0,2.713181818181818,0.0,0.44623655913978494
2024-06-02 00:00:00,64.786,11.445,46.195,2.25,0,2.6930434782608694,0.0,0.12473118279569892
2024-06-02 01:00:00,64.824,12.594,44.757,1.672,0,2.6505,0.0,0.8989247311827957
2024-06-02 02:00:00,65.266,12.313,44.617,1.977,0,2.6350000000000002,0.11400000000000432,0.7526881720430108
2024-06-02 03:00:00,65.183,11.368,44.395,1.989,0,2.5955833333333334,-0.19199999999999307,0.1032258064516129
2024-06-02 04:00:00,65.206,12.889,46.166,2.526,0,2.5658333333333334,-0.2639999999999958,0.9559139784946237
2024-06-02 05:00:00,65.215,12.329,45.41,2.363,0,2.52275,1.1910000000000025,0.7612903225806451
2024-06-02 06:00:00,66.071,11.995,44.833,2.332,1,2.488375,1.7219999999999942,0.47956989247311826
2024-06-02 07:00:00,64.797,12.795,45.625,2.81,1,2.5035833333333333,-0.2669999999999959,0.9483870967741935
2024-06-02 08:00:00,64.744,12.08,45.344,2.67,1,2.5033333333333334,-0.09799999999999898,0.5655913978494623
2024-06-02 10:00:00,65.308,11.67,44.226,2.705,0,2.4959166666666666,0.3160000000000025,0.2623655913978495
2024-06-02 11:00:00,65.564,12.291,44.867,2.808,0,2.5062083333333334,0.9909999999999997,0.7290322580645161
2024-06-02 12:00:00,64.943,12.238,44.769,1.446,0,2.4595833333333332,-0.4969999999999999,0.6881720430107527
2024-06-02 13:00:00,64.58,12.007,44.013,2.318,0,2.4348333333333336,-0.8089999999999975,0.49032258064516127
