Timestamp,Equipo,Prob_Falla,RUL_horas,Riesgo_pct,Riesgo_acum_pct
2024-06-21 09:00:00,PUMP101,0.75,142.9573333333333,75.0,13.88888888888889
2024-06-21 08:00:00,PUMP101,0.7,10.0,70.0,26.851851851851855
2024-06-21 10:00:00,PUMP101,0.64,99.54733333333328,64.0,38.7037037037037
2024-06-21 17:00:00,PUMP101,0.43,115.87933333333334,43.0,46.666666666666664
2024-06-21 19:00:00,PUMP101,0.38,139.05933333333334,38.0,53.70370370370371
2024-06-21 04:00:00,PUMP101,0.33,87.26933333333338,33.0,59.81481481481481
2024-06-21 01:00:00,PUMP101,0.33,156.74933333333334,33.0,65.92592592592592
2024-06-21 12:00:00,PUMP101,0.31,66.77933333333337,31.0,71.66666666666667
2024-06-20 18:00:00,PUMP101,0.16,122.89333333333335,16.0,74.62962962962963
2024-06-21 06:00:00,PUMP101,0.15,94.49333333333334,15.0,77.4074074074074
2024-06-21 18:00:00,PUMP101,0.14,49.74333333333334,14.000000000000002,80.0
2024-06-20 23:00:00,PUMP101,0.13,139.80533333333335,13.0,82.4074074074074
2024-06-20 22:00:00,PUMP101,0.12,139.7073333333333,12.0,84.62962962962963
2024-06-20 19:00:00,PUMP101,0.1,71.02333333333337,10.0,86.48148148148148
2024-06-21 00:00:00,PUMP101,0.1,144.6293333333333,10.0,88.33333333333333
2024-06-21 11:00:00,PUMP101,0.09,16.157333333333327,9.0,90.0
2024-06-21 15:00:00,PUMP101,0.09,69.54733333333337,9.0,91.66666666666666
2024-06-21 16:00:00,PUMP101,0.09,54.12533333333329,9.0,93.33333333333333
2024-06-21 05:00:00,PUMP101,0.08,176.95333333333335,8.0,94.81481481481482
2024-06-21 03:00:00,PUMP101,0.07,41.30333333333331,7.000000000000001,96.11111111111111
2024-06-20 21:00:00,PUMP101,0.07,88.08533333333332,7.000000000000001,97.4074074074074
2024-06-21 07:00:00,PUMP101,0.07,91.89333333333329,7.000000000000001,98.70370370370371
2024-06-21 13:00:00,PUMP101,0.06,61.20933333333332,6.0,99.81481481481481
2024-06-21 02:00:00,PUMP101,0.01,82.70133333333334,1.0,100.0
